Instance,0,500,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,7000,7500,8000,8500,9000,9500,10000
kroA100.tsp,144893,144328,27092,23727,23228,23228,23228,23228,23228,23228,23228,23228,23228,23228,23228,23228,23228,23228,23228,23228,23228
kroA100.tsp,145206,144088,26258,22850,22762,22762,22762,22762,22762,22762,22762,22762,22762,22762,22762,22762,22762,22762,22762,22762,22762
kroA100.tsp,147429,146292,26747,23499,23169,23169,22967,22967,22967,22967,22967,22967,22967,22967,22967,22967,22967,22967,22967,22967,22967
,,,,,,,,,,,,,,,,,,,,,
kroC100.tsp,146898,148711,26038,23711,23711,23711,23711,23711,23711,23711,23711,23711,23711,23711,23711,23711,23711,23711,23711,23711,23711
kroC100.tsp,148619,147936,26115,24160,23839,23839,23839,23839,23839,23839,23839,23839,23839,23839,23839,23839,23839,23839,23839,23839,23839
kroC100.tsp,147124,145280,27237,23917,22829,22829,22829,22829,22829,22829,22829,22829,22829,22829,22829,22829,22829,22829,22829,22829,22829
kroC100.tsp,144733,141083,25561,24311,24211,24211,24211,24211,24211,24211,24211,24211,24211,24211,24211,24211,24211,24211,24211,24211,24211
kroC100.tsp,146095,144290,25148,23083,22879,22879,22879,22879,22879,22879,22879,22879,22879,22879,22879,22879,22879,22879,22879,22879,22879
kroC100.tsp,141927,141927,25703,22778,22335,22335,22335,22335,22335,22335,22335,22335,22335,22335,22335,22335,22335,22335,22335,22335,22335
kroC100.tsp,149446,148708,26302,22827,22284,22284,22284,22284,22284,22284,22284,22284,22284,22284,22284,22284,22284,22197,22197,22197,22197
kroC100.tsp,148255,145885,25825,23042,22951,22951,22951,22951,22951,22951,22951,22951,22951,22951,22951,22951,22951,22951,22951,22951,22951
kroC100.tsp,151408,146787,25395,21993,21993,21993,21993,21993,21993,21993,21993,21993,21993,21993,21993,21993,21993,21993,21993,21993,21993
kroC100.tsp,148118,142765,25918,23007,22470,22461,22317,22317,22317,22317,22317,22317,22317,22317,22317,22317,22317,22317,22317,22317,22317
kroC100.tsp,148806,143263,26831,22802,22513,22513,22513,22513,22513,22513,22513,22513,22513,22513,22513,22513,22513,22513,22513,22513,22513
kroC100.tsp,146726,146726,26567,22282,22256,22256,22256,22256,22256,22256,22256,22256,22256,22256,22256,22256,22256,22256,22256,22256,22256
